episode,steps,reward,reward100,reward50,reward10,mean_s_q,mean_t_q,mean_td_error,mean_h_error,action_count0,action_count1,action_count2,mean_wg,median_wg,max_wg,min_wg
5900,1067718,-0.0021,-51.0,-51.5,-51.3,-14.3581,-14.2135,-0.000637357,0.000823884,46,57,78,3.02797e-07,2.06765e-08,1.48247e-05,6.87264e-11
6000,1085818,-0.0021,-50.5,-50.9,-51.5,-14.1473,-14.0055,0.00112315,0.000713977,42,49,90,2.97294e-07,1.77555e-08,9.51474e-06,4.09702e-11
6100,1103918,-0.0021,-50.1,-50.3,-52.2,-14.139,-13.9955,0.000800419,0.00126837,31,53,97,4.83516e-07,2.9533e-08,1.57559e-05,6.23624e-11
6200,1122018,-0.0021,-50.2,-50.0,-50.2,-13.66,-13.5228,-0.000724534,0.00232677,37,48,96,6.69555e-07,4.03443e-08,2.70906e-05,1.10241e-10
6300,1140118,-0.0021,-50.0,-49.7,-50.0,-13.7058,-13.5597,0.000751565,0.00109563,36,57,88,3.65969e-07,2.00335e-08,1.15878e-05,5.28364e-11
6400,1158218,-0.0021,-50.0,-50.1,-50.9,-14.0265,-13.8806,-0.000139795,0.00168765,40,49,92,4.14147e-07,2.71633e-08,1.98119e-05,8.32482e-11
6500,1176318,-0.0021,-49.5,-49.4,-50.0,-13.8586,-13.7242,0.00111403,0.00105485,64,67,50,3.42011e-07,1.99003e-08,1.85865e-05,4.72651e-11
6600,1194418,-0.0021,-49.9,-49.1,-47.7,-13.2736,-13.1397,0.00338451,0.00182065,55,59,67,5.10366e-07,2.98384e-08,2.60898e-05,8.11869e-11
6700,1212518,-0.0021,-49.8,-49.8,-49.1,-13.9539,-13.815,0.00250946,0.00144418,38,60,83,4.51368e-07,2.67973e-08,2.14569e-05,4.59304e-11
6800,1230618,-0.0021,-50.3,-50.9,-51.7,-13.7287,-13.5927,0.00079073,0.00136644,19,59,103,3.87135e-07,2.14974e-08,1.71972e-05,6.37125e-11
6900,1248718,-0.0021,-50.2,-50.0,-51.2,-13.9542,-13.8112,-5.37085e-05,0.000963957,14,61,106,2.47277e-07,1.59057e-08,8.66498e-06,5.32477e-11
7000,1266818,-0.0021,-50.2,-50.3,-49.0,-14.0735,-13.9296,0.0017731,0.000767235,29,55,97,2.06532e-07,1.21274e-08,6.08755e-06,3.95163e-11
7100,1284918,-0.0021,-50.7,-51.6,-54.9,-13.6477,-13.5069,0.00444309,0.00574537,46,52,83,7.16344e-07,4.38379e-08,4.92837e-05,6.37494e-11
7200,1303018,-0.0021,-49.4,-49.4,-49.6,-13.9644,-13.8183,-0.00192472,0.00139077,21,52,108,3.32305e-07,1.97432e-08,1.68922e-05,4.37023e-11
7300,1321118,-0.0021,-50.7,-50.7,-51.4,-13.3889,-13.2498,-0.000398904,0.00237241,28,55,98,4.03022e-07,2.49534e-08,1.84429e-05,5.89003e-11
7400,1339218,-0.0308,-50.1,-50.3,-50.0,-13.5687,-13.4252,0.00306943,0.00330014,44,58,79,3.60458e-07,3.37626e-08,1.87523e-05,6.65826e-11
7500,1357318,-0.0092,-49.9,-50.4,-49.7,-13.7863,-13.6492,-0.000364664,0.00110255,70,65,46,1.83355e-07,1.19566e-08,6.66826e-06,3.88574e-11
7600,1375418,-0.0092,-49.5,-49.6,-48.3,-13.5557,-13.4157,0.000380562,0.00275694,67,56,58,4.71194e-07,2.7113e-08,3.00521e-05,3.87379e-11
7700,1393518,-0.0021,-50.0,-50.0,-51.1,-13.5658,-13.4214,0.001649,0.00217354,52,56,73,2.13962e-07,1.50208e-08,9.4686e-06,4.29296e-11
7800,1411618,-0.0021,-50.1,-50.5,-50.8,-13.7426,-13.593,-0.00157971,0.00195282,58,59,64,2.25403e-07,1.39258e-08,9.10343e-06,3.37803e-11
7900,1429718,-0.0021,-50.3,-50.3,-50.1,-13.4952,-13.3502,-0.000402879,0.00100072,33,49,99,1.85074e-07,1.16054e-08,6.29705e-06,2.02328e-11
8000,1447818,-0.0021,-51.0,-51.2,-50.9,-13.5172,-13.3693,-0.00559311,0.0047569,20,49,112,7.14277e-07,3.93364e-08,4.02468e-05,3.98255e-11
8100,1465918,-0.0092,-49.4,-49.5,-46.8,-13.605,-13.4618,0.000874643,0.000783352,33,58,90,1.04483e-07,8.16766e-09,3.24511e-06,2.24964e-11
8200,1484018,-0.0021,-50.3,-50.2,-49.5,-13.5904,-13.4432,0.0030506,0.00382197,7,50,124,4.12867e-07,1.92926e-08,1.69274e-05,3.24882e-11
