episode,steps,reward,reward100,reward50,reward10,mean_s_q,mean_t_q,mean_td_error,mean_h_error,action_count0,mean_wg,median_wg,max_wg,min_wg
232,41810,-0.0385333333333,-11.0,-12.8,-12.1,-1.75301,-1.64859,-0.00578765,0.0162063,181,9.52946e-06,1.26474e-06,0.000112317,0.0
236,42534,-0.0692666666667,-11.1,-12.1,-13.6,-1.50287,-1.45097,-0.00474859,0.0129347,181,8.54078e-06,1.01453e-06,0.000122781,0.0
240,43258,-0.0017,-10.8,-12.4,-7.9,-1.47978,-1.44319,0.00145619,0.0100326,181,7.78097e-06,9.89053e-07,0.000114562,0.0
244,43982,-0.0035,-10.8,-11.8,-7.8,-1.37435,-1.33454,0.000284864,0.0160355,181,6.89782e-06,9.05894e-07,8.20869e-05,0.0
248,44706,-0.0001,-10.8,-12.0,-10.8,-1.53518,-1.46397,-0.00905718,0.0154027,181,7.60582e-06,9.88478e-07,0.000136227,0.0
252,45430,-0.0004,-11.1,-12.5,-12.9,-1.50443,-1.41927,0.00109231,0.010818,181,9.79346e-06,1.39517e-06,0.000110228,0.0
256,46154,-0.1003,-11.0,-11.5,-13.8,-1.47555,-1.41979,-0.001793,0.0158192,181,1.08721e-05,1.48102e-06,0.000164279,0.0
260,46878,-0.0011,-11.5,-12.0,-13.8,-1.76644,-1.6674,-0.00197734,0.0247224,181,5.20736e-06,7.1832e-07,7.77281e-05,0.0
264,47602,-0.0008,-11.3,-11.8,-11.3,-1.74233,-1.67879,-0.00653969,0.0158747,181,6.22429e-06,8.86583e-07,7.91815e-05,0.0
268,48326,-0.0027,-11.5,-11.4,-10.9,-1.55041,-1.51522,-0.00326373,0.00996642,181,7.80373e-06,9.43819e-07,9.91626e-05,0.0
272,49050,-0.105633333333,-11.7,-11.5,-10.9,-1.65751,-1.57546,-0.0168,0.0228635,181,7.63623e-06,1.14805e-06,9.90968e-05,0.0
276,49774,-0.141466666667,-11.8,-12.2,-11.5,-1.55211,-1.47669,-0.0164741,0.0214506,181,6.53922e-06,8.16947e-07,0.000102417,0.0
280,50498,-0.0009,-11.8,-10.8,-7.2,-1.57815,-1.52732,-0.00589988,0.0150517,181,9.31613e-06,1.43738e-06,0.000117917,0.0
284,51222,-0.0004,-11.9,-11.1,-10.8,-1.59963,-1.55049,-0.00679373,0.0168454,181,8.45955e-06,1.15984e-06,0.000124785,0.0
288,51946,-0.1783,-11.9,-11.5,-10.9,-1.72422,-1.67721,-0.00706349,0.0201098,181,7.85218e-06,1.11872e-06,0.000127008,0.0
292,52670,-0.2792,-12.5,-12.5,-15.5,-1.87354,-1.73914,0.00132327,0.0256144,181,8.07374e-06,1.20386e-06,0.000121985,0.0
296,53394,-0.0654333333333,-12.5,-12.9,-17.6,-1.8124,-1.70476,-0.00636632,0.0151151,181,6.95672e-06,9.6195e-07,9.74501e-05,0.0
300,54118,-0.002,-12.9,-13.2,-20.0,-2.07609,-1.97149,-0.010468,0.0250764,181,1.25972e-05,1.69031e-06,0.000205166,0.0
304,54842,-0.0005,-12.2,-12.7,-13.6,-1.72709,-1.67089,-0.00365276,0.0226123,181,6.51224e-06,9.45504e-07,9.77735e-05,0.0
308,55566,-0.0,-12.3,-13.1,-10.1,-1.76265,-1.6911,-0.00642157,0.0214745,181,6.59917e-06,9.08574e-07,9.92431e-05,0.0
312,56290,-0.0005,-12.3,-13.0,-13.1,-1.84953,-1.77296,-0.00625627,0.020292,181,2.09852e-05,2.4325e-06,0.000299733,0.0
316,57014,-0.0016,-12.1,-12.7,-11.1,-1.87685,-1.83498,-0.00541311,0.0167113,181,1.07959e-05,1.19688e-06,0.000152144,0.0
320,57738,-0.0564,-12.3,-12.5,-11.1,-1.97749,-1.91272,-0.00580588,0.0233077,181,9.41942e-06,1.13422e-06,0.000106494,0.0
324,58462,-0.0026,-12.2,-13.0,-9.4,-1.92831,-1.85944,-0.0113445,0.0224311,181,5.36699e-06,5.79814e-07,7.3884e-05,0.0
328,59186,-0.0106,-12.2,-12.5,-10.5,-1.79045,-1.76289,-0.00341706,0.0176677,181,1.49506e-05,1.61385e-06,0.000285297,0.0
